Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2013-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2013-01-28,Australia Day,Australia Day,AU,False,True,,Public,
2013-03-04,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2013-03-11,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2013-03-11,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2013-03-11,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2013-03-11,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2013-03-29,Good Friday,Good Friday,AU,False,True,,Public,
2013-03-30,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2013-03-31,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2013-04-01,Easter Monday,Easter Monday,AU,False,True,,Public,
2013-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2013-05-06,May Day,May Day,AU,False,False,,Public,AU-NT
2013-05-06,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2013-05-27,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2013-06-03,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2013-06-10,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2013-08-05,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2013-10-07,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2013-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2013-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2014-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2014-01-27,Australia Day,Australia Day,AU,False,True,,Public,
2014-03-03,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2014-03-10,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2014-03-10,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2014-03-10,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2014-03-10,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2014-04-18,Good Friday,Good Friday,AU,False,True,,Public,
2014-04-19,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2014-04-20,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2014-04-21,Easter Monday,Easter Monday,AU,False,True,,Public,
2014-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2014-05-05,May Day,May Day,AU,False,False,,Public,AU-NT
2014-05-05,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2014-06-02,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2014-06-02,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2014-06-09,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2014-08-04,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2014-10-06,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2014-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2014-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2015-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2015-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2015-03-02,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2015-03-09,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2015-03-09,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2015-03-09,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2015-03-09,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
